CodigoSessao,SiglaCasa,CodigoSessaoLegislativa,TipoSessao,NumeroSessao,DataSessao,HoraInicio,CodigoVotacaoSve,CodigoSessaoVotacao,SequencialSessao,Secreta,DescricaoVotacao,Resultado,TotalVotosSim,TotalVotosNao,TotalVotosAbstencao,CodigoMateria,SiglaMateria,NumeroMateria,AnoMateria,SiglaCasaMateria,DescricaoObjetivoProcesso,DescricaoIdentificacaoMateria,z_orientacaoGoverno,z_orientacaoOposicao,z_orientacoes
335450,SF,868,DOR,49,17/05/2023,14:00:00,4004,6682,1,S,"Votação nominal da Mensagem nº 5, de 2023 - Paulino Franco de Carvalho Neto (Egito e Eritreia).",A,46,2,1,157157,MSF,5,2023,SF,,MSF 5/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4012,6690,9,S,"Votação nominal da Mensagem nº 12, de 2023 - Kenneth Félix Haczynski da Nóbrega (Índia e Butão).",A,38,1,3,157164,MSF,12,2023,SF,,MSF 12/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4011,6689,8,S,"Votação nominal da Mensagem nº 10, de 2023 - Everton Vieira Vargas (Santa Sé e Malta).",A,41,2,1,157162,MSF,10,2023,SF,,MSF 10/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4010,6688,7,S,"Votação nominal da Mensagem nº 8, de 2023 - Julio Glinternick Bitelli (Argentina).",A,42,2,3,157160,MSF,8,2023,SF,,MSF 8/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4009,6687,6,S,"Votação nominal da Mensagem nº 1, de 2023 - Luiz Fernando Corrêa (ABIN).",A,43,5,2,156443,MSF,1,2023,SF,,MSF 1/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4008,6686,5,S,"Votação nominal da Mensagem nº 7, de 2023 - Sérgio França Danese (Nações Unidas).",A,40,2,1,157159,MSF,7,2023,SF,,MSF 7/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4007,6685,4,S,"Votação nominal da Mensagem nº 9, de 2023 - Maria Luiza Ribeiro Viotti (EUA).",A,44,1,1,157161,MSF,9,2023,SF,,MSF 9/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4006,6684,3,S,"Votação nominal da Mensagem nº 23, de 2023 - Erick Moura de Medeiros (DNIT).",A,46,3,2,157301,MSF,23,2023,SF,,MSF 23/2023,,,Não-opostas
335450,SF,868,DOR,49,17/05/2023,14:00:00,4005,6683,2,S,"Votação nominal da Mensagem nº 6, de 2023 - Ricardo Neiva Tavares (França e Mônaco).",A,40,2,2,157158,MSF,6,2023,SF,,MSF 6/2023,,,Não-opostas
336375,SF,868,DOR,51,23/05/2023,14:00:00,4013,6691,1,S,"Votação nominal da Mensagem nº 11, de 2023 - Antonio de Aguiar Patriota (Reino Unido e Irlanda do Norte).",A,46,8,1,157163,MSF,11,2023,SF,,MSF 11/2023,,,Não-opostas
336375,SF,868,DOR,51,23/05/2023,14:00:00,4015,6693,3,S,"Votação nominal da Mensagem nº 17, de 2023 - Frederico Salomão Duque Estrada Meyer (Israel).",A,35,4,2,157169,MSF,17,2023,SF,,MSF 17/2023,,,Não-opostas
336375,SF,868,DOR,51,23/05/2023,14:00:00,4014,6692,2,S,"Votação nominal da Mensagem nº 21, de 2023 - Christian Vargas (Cuba).",A,41,4,2,157173,MSF,21,2023,SF,,MSF 21/2023,,,Não-opostas
336825,SF,868,DOR,52,24/05/2023,14:00:00,4020,6698,5,S,"Votação nominal da Mensagem nº 15, de 2023 - Paulo Roberto Caminha de Castilho França (República Helênica).",A,47,2,1,157167,MSF,15,2023,SF,,MSF 15/2023,,,Não-opostas
336825,SF,868,DOR,52,24/05/2023,14:00:00,4019,6697,4,S,"Votação nominal da Mensagem nº 22, de 2023 - Benoni Belli (Organização dos Estados Americanos).",A,43,3,1,157174,MSF,22,2023,SF,,MSF 22/2023,,,Não-opostas
336825,SF,868,DOR,52,24/05/2023,14:00:00,4018,6696,3,S,"Votação nominal da Mensagem nº 20, de 2023 - Clemente de Lima Baena Soares (Peru).",A,42,5,4,157172,MSF,20,2023,SF,,MSF 20/2023,,,Não-opostas
336825,SF,868,DOR,52,24/05/2023,14:00:00,4017,6695,2,S,"Votação nominal da Mensagem nº 19, de 2023 - Guilherme de Aguiar Patriota (Suiça).",A,44,6,0,157171,MSF,19,2023,SF,,MSF 19/2023,,,Não-opostas
336825,SF,868,DOR,52,24/05/2023,14:00:00,4016,6694,1,S,"Votação nominal da Mensagem nº 18, de 2023 - Michel Arslanian Neto (OACI).",A,51,2,3,157170,MSF,18,2023,SF,,MSF 18/2023,,,Não-opostas
338716,SF,868,DOR,57,31/05/2023,14:00:00,4021,6699,1,S,"Votação nominal da Mensagem nº 26, de 2023 - Fernando Simas Magalhães (Países Baixos).",A,43,2,1,157514,MSF,26,2023,SF,,MSF 26/2023,,,Não-opostas
338716,SF,868,DOR,57,31/05/2023,14:00:00,4022,6700,2,S,"Votação nominal da Mensagem nº 13, de 2023 - George Monteiro Prata (Indonésia).",A,46,2,0,157165,MSF,13,2023,SF,,MSF 13/2023,,,Não-opostas
338716,SF,868,DOR,57,31/05/2023,14:00:00,4023,6701,3,S,"Votação nominal da Mensagem nº 14, de 2023 - Gabriel Boff Moreira (República Eslovaca).",A,41,4,0,157166,MSF,14,2023,SF,,MSF 14/2023,,,Não-opostas
338716,SF,868,DOR,57,31/05/2023,14:00:00,4024,6702,4,S,"Votação nominal da Mensagem nº 16, de 2023 - Arthur Henrique Villanova Nogueira (Malawi).",A,41,2,2,157168,MSF,16,2023,SF,,MSF 16/2023,,,Não-opostas
340775,SF,868,DOR,66,14/06/2023,14:00:00,4028,6707,1,S,"Votação nominal do Ofício nº 6, de 2023 - Marcus Vinícius Caetano Pestana da Silva (IFI).",A,56,2,1,157637,OFS,6,2023,SF,,OFS 6/2023,,,Não-opostas
342138,SF,868,DOR,75,21/06/2023,14:00:00,4031,6710,1,S,"Votação nominal da Mensagem nº 24, de 2023 - Claudio Frederico de Matos Arruda (Austrália).",A,41,2,1,157512,MSF,24,2023,SF,,MSF 24/2023,,,Não-opostas
342138,SF,868,DOR,75,21/06/2023,14:00:00,4034,6713,4,S,"Votação nominal da Mensagem nº 34, de 2023 - Cristiano Zanin Martins (STF).",A,58,18,0,158049,MSF,34,2023,SF,,MSF 34/2023,,,Não-opostas
342138,SF,868,DOR,75,21/06/2023,14:00:00,4033,6712,3,S,"Votação nominal da Mensagem nº 29, de 2023 - Renato Mosca de Souza (Itália).",A,48,6,0,157945,MSF,29,2023,SF,,MSF 29/2023,,,Não-opostas
342138,SF,868,DOR,75,21/06/2023,14:00:00,4032,6711,2,S,"Votação nominal da Mensagem nº 25, de 2023 - Ricardo Guerra de Araújo (Rômenia).",A,47,2,0,157513,MSF,25,2023,SF,,MSF 25/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4039,6718,1,S,"Votação nominal da Mensagem nº 30, de 2023 - Sidney Leon Romeiro (Emirados Árabes Unidos).",A,37,4,3,158035,MSF,30,2023,SF,,MSF 30/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4046,6725,8,S,"Votação nominal da Mensagem nº 28, de 2023 - Ailton de Aquino Santos (Banco Central do Brasil).",A,42,10,1,157524,MSF,28,2023,SF,,MSF 28/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4045,6724,7,S,"Votação nominal da Mensagem nº 27, de 2023 - Gabriel Muricca Galípolo (Banco Central do Brasil).",A,39,12,1,157522,MSF,27,2023,SF,,MSF 27/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4044,6723,6,S,"Votação nominal da Mensagem nº 36, de 2023 - Adriano Silva Pucci (Bahrein).",A,41,3,1,158166,MSF,36,2023,SF,,MSF 36/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4043,6722,5,S,"Votação Nominal da Mensagem nº 37, de 2023 - João Genésio de Almeida Filho (Botsuana).",A,39,2,0,158167,MSF,37,2023,SF,,MSF 37/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4042,6721,4,S,"Votação nominal da Mensagem nº 32, de 2023 - Alexandre Guido Lopes Parola (Marrocos).",A,40,3,0,158039,MSF,32,2023,SF,,MSF 32/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4041,6720,3,S,"Votação nominal da Mensagem nº 31, de 2023 - Silvana Polich (Croácia).",A,41,1,1,158036,MSF,31,2023,SF,,MSF 31/2023,,,Não-opostas
344256,SF,868,DOR,82,04/07/2023,14:00:00,4040,6719,2,S,"Votação nominal da Mensagem nº 33, de 2023 - Claudia Vieira Santos (Representante Permanente do Brasil junto à AIEA).",A,46,4,1,158040,MSF,33,2023,SF,,MSF 33/2023,,,Não-opostas
344696,SF,868,DOR,83,05/07/2023,14:00:00,4047,6726,1,S,"Votação nominal da Mensagem nº 42, de 2023 - Carlos Antonio Rocha de Barros (DNIT).",A,46,8,1,158393,MSF,42,2023,SF,,MSF 42/2023,,,Não-opostas
344696,SF,868,DOR,83,05/07/2023,14:00:00,4050,6729,4,S,"Votação nominal da Mensagem nº 39, de 2023 - José Eduardo Guidi (DNIT).",A,50,5,2,158390,MSF,39,2023,SF,,MSF 39/2023,,,Não-opostas
344696,SF,868,DOR,83,05/07/2023,14:00:00,4049,6728,3,S,"Votação nominal da Mensagem nº 40, de 2023 - Fabio Pessoa da Silva Nunes (DNIT).",A,47,4,3,158391,MSF,40,2023,SF,,MSF 40/2023,,,Não-opostas
344696,SF,868,DOR,83,05/07/2023,14:00:00,4048,6727,2,S,"Votação nominal da Mensagem nº 41, de 2023 - Fabricio de Oliveira Galvão (DNIT).",A,47,5,1,158392,MSF,41,2023,SF,,MSF 41/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4053,6732,1,S,"Votação nominal da Mensagem nº 44, de 2023 - Carlos Alberto Franco França (Canadá).",A,54,2,2,158399,MSF,44,2023,SF,,MSF 44/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4059,6738,7,S,"Votação nominal do Ofício nº 11, de 2023 - Pablo Coutinho Barreto (CNJ).",A,52,1,0,158100,OFS,11,2023,SF,,OFS 11/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4058,6737,6,S,"Votação nominal do Ofício nº 4, de 2023 - Fernando da Silva Comin (CNMP).",A,51,3,1,157364,OFS,4,2023,SF,,OFS 4/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4057,6736,5,S,"Votação nominal do Ofício nº 5, de 2023 - Ivana Lúcia Franco Cei (CNMP).",A,48,6,1,157365,OFS,5,2023,SF,,OFS 5/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4056,6735,4,S,"Votação nominal do Ofício nº 3, de 2023 - Paulo Cezar dos Passos (CNMP).",A,51,2,2,157363,OFS,3,2023,SF,,OFS 3/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4055,6734,3,S,"Votação nominal da Mensagem nº 45, de 2023 - Paulo Roberto Campos Tarrisse da Fontoura (Bulgária e Macedônia do Norte).",A,41,4,1,158400,MSF,45,2023,SF,,MSF 45/2023,,,Não-opostas
348470,SF,868,DOR,92,02/08/2023,14:00:00,4054,6733,2,S,"Votação nominal da Mensagem nº 43, de 2023 - Eduardo Ricardo Gradilone Neto (Irã).",A,38,3,3,158398,MSF,43,2023,SF,,MSF 43/2023,,,Não-opostas
349248,SF,868,DOR,97,08/08/2023,14:00:00,4060,6739,1,S,"Votação nominal do Ofício nº 7, de 2023 - Jaime Cassio Miranda (CNMP).",A,54,3,3,157943,OFS,7,2023,SF,,OFS 7/2023,,,Não-opostas
